,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,p5_td,p5_tr,p5_result,p5_opp_id,td_t32,tr_t32,match_dif_t32,match_res_t32,t32_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,p6_td,p6_tr,p6_result,p6_opp_id,td_t64,tr_t64,match_dif_t64,match_res_t64,t64_opp_id,p7_td,p7_tr,p7_result,p7_opp_id,p8_td,p8_tr,p8_result,p8_opp_id
2648,8,28,CAMILO ALFONSO,MOSQUERA BELTRAN,23,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,1626,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,2,5,4,26,19,0.666666666666667,7,3,6,5,0,1,766,3,5,0,124,5,2,1,3073,5,4,1,762,3,5,0,1994,15,7,8,1,2385,15,14,1,1,2353,14,15,-1,0,415,,,,,,,,,,,CAMILO ALFONSO MOSQUERA BELTRAN,3.16666666666667,4.33333333333333,1.16666666666667,11.6333333333333,14.8666666666667,3.23333333333333,1,0,2,5,3,1,435,,,,,,,,,,,,,
2649,9,16,MARIO ALBERTO,PALACIOS MURILLO,26,COLOMBIA,VALLE,Pothos Club,2353,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,1,4,5,27,11,0.833333333333333,16,2,6,5,2,1,608,5,0,1,2809,5,1,1,64,5,0,1,960,5,3,1,1044,,,,,,14,15,-1,0,1626,,,,,,,,,,,,,,,,MARIO ALBERTO PALACIOS MURILLO,1.83333333333333,4.5,2.66666666666667,9.27777777777778,15.1666666666667,5.88888888888889,1,1,0,2,5,0,415,,,,,,,,,,,,,
2650,10,16,ALEJANDRO,PINZON GUERRA,17,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,1994,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,2,3,5,27,13,0.833333333333333,14,2,6,5,1,1,435,5,0,1,766,2,5,0,124,5,0,1,3073,5,3,1,1626,,,,,,8,15,-7,0,1138,,,,,,,,,,,,,,,,ALEJANDRO PINZON GUERRA,2.16666666666667,4.5,2.33333333333333,10.0555555555556,13.1666666666667,3.11111111111111,1,1,0,5,4,1,762,,,,,,,,,,,,,
2651,11,16,SAMUEL,GUALTERO CRUZ,18,COLOMBIA,TOLIMA,Club Deportivo SAS,635,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,4,2,4,26,14,0.666666666666667,12,2,6,5,0,1,700,5,0,1,3072,4,5,0,1140,5,2,1,2905,5,2,1,769,,,,,,13,15,-2,0,65,,,,,,,,,,,,,,,,SAMUEL GUALTERO CRUZ,2.33333333333333,4.33333333333333,2,10.4444444444444,14.4444444444444,4,1,1,0,2,5,0,404,,,,,,,,,,,,,
2652,12,16,LUIS ENRIQUE,CORREA VILA,26,COLOMBIA,BOGOTA,Club Deportivo Braveness,289,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,3,6,4,26,18,0.666666666666667,8,3,6,3,5,0,1138,5,2,1,2385,5,3,1,1195,3,5,0,1054,5,2,1,65,15,2,13,1,960,11,15,-4,0,64,,,,,,,,,,,,,,,,LUIS ENRIQUE CORREA VILA,3,4.33333333333333,1.33333333333333,9.5,14.0833333333333,4.58333333333333,0,0,1,5,1,1,2857,,,,,,,,,,,,,
2653,13,16,NICOLAS NICOLAS,SAN EMETERIO SAN EMETERIO,20,COLOMBIA,VALLE,Pothos Club,404,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,4,1,4,25,19,0.666666666666667,6,3,6,5,1,1,769,1,5,0,2905,5,3,1,700,5,3,1,3072,4,5,0,1140,15,14,1,1,700,12,15,-3,0,415,,,,,,,,,,,,,,,,NICOLAS NICOLAS SAN EMETERIO SAN EMETERIO,3.16666666666667,4.16666666666667,1,12.7916666666667,14.0416666666667,1.25,1,0,1,5,2,1,635,,,,,,,,,,,,,
2654,14,16,MANUEL SANTIAGO,CRUZ GARROTE,17,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA FUSA FENCING,762,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,2,7,2,25,23,0.333333333333333,2,5,6,5,3,1,3073,4,5,0,435,4,5,0,1626,5,0,1,766,4,5,0,1994,15,4,11,1,1044,10,15,-5,0,124,,,,,,,,,,,,,,,,MANUEL SANTIAGO CRUZ GARROTE,3.83333333333333,4.16666666666667,0.333333333333333,11.4583333333333,13.5416666666667,2.08333333333333,1,0,1,3,5,0,124,,,,,,,,,,,,,
2655,15,16,JAIME ENRIQUE,RINCON ARENAS,22,COLOMBIA,TOLIMA,Club Deportivo SAS,608,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,1,1,2,21,25,0.333333333333333,-4,5,6,2,5,0,2353,4,5,0,415,5,3,1,2809,1,5,0,64,5,2,1,960,15,13,2,1,769,4,15,-11,0,1054,,,,,,,,,,,,,,,,JAIME ENRIQUE RINCON ARENAS,4.16666666666667,3.5,-0.666666666666667,14.2916666666667,10.875,-3.41666666666667,0,0,1,4,5,0,1044,,,,,,,,,,,,,
2656,15,16,DANIEL ALEJANDRO,SEPULVEDA ROMERO,26,COLOMBIA,BOGOTA,CLUB ACADEMIA SABRE D´OR,2905,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,4,7,2,21,25,0.333333333333333,-4,5,6,5,1,1,404,1,5,0,1140,4,5,0,700,2,5,0,635,5,4,1,3072,15,7,8,1,435,13,15,-2,0,1140,,,,,,,,,,,,,,,,DANIEL ALEJANDRO SEPULVEDA ROMERO,4.16666666666667,3.5,-0.666666666666667,12.7916666666667,13.125,0.333333333333334,1,0,1,4,5,0,769,,,,,,,,,,,,,
2657,17,8,SANTIAGO,MARQUINEZ JIMENEZ,25,COLOMBIA,VALLE,Pothos Club,435,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,2,6,3,19,21,0.5,-2,4,6,1,5,0,1994,5,4,1,762,5,1,1,766,0,5,0,124,5,1,1,3073,7,15,-8,0,2905,,,,,,,,,,,,,,,,,,,,,SANTIAGO MARQUINEZ JIMENEZ,3.5,3.16666666666667,-0.333333333333333,13.1666666666667,9.72222222222222,-3.44444444444444,0,0,0,3,5,0,1626,,,,,,,,,,,,,
2658,18,8,JULIAN STEVEN,ARENAS GARZON,18,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,769,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,4,4,3,18,23,0.5,-5,4,6,1,5,0,404,5,3,1,700,5,1,1,3072,0,5,0,1140,2,5,0,635,13,15,-2,0,608,,,,,,,,,,,,,,,,,,,,,JULIAN STEVEN ARENAS GARZON,3.83333333333333,3,-0.833333333333333,13.9444444444444,11.3333333333333,-2.61111111111111,0,0,0,5,4,1,2905,,,,,,,,,,,,,
2659,19,8,JOSE RICARDO,ANDRADE VARGAS,18,COLOMBIA,VALLE,Pothos Club,1044,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,1,2,3,19,25,0.5,-6,4,6,5,3,1,2809,1,5,0,64,5,3,1,960,0,5,0,415,3,5,0,2353,4,15,-11,0,762,,,,,,,,,,,,,,,,,,,,,JOSE RICARDO ANDRADE VARGAS,4.16666666666667,3.16666666666667,-1,14.7222222222222,8.72222222222222,-6,1,0,0,5,4,1,608,,,,,,,,,,,,,
2660,20,8,DIEGO ANDRÉS,NAJAR VALENCIA,19,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA FUSA FENCING,700,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,4,5,2,20,25,0.333333333333333,-5,6,6,0,5,0,635,3,5,0,769,3,5,0,404,5,4,1,2905,5,1,1,3072,14,15,-1,0,404,,,,,,,,,,,,,,,,,,,,,DIEGO ANDRÉS NAJAR VALENCIA,4.16666666666667,3.33333333333333,-0.833333333333333,14.7222222222222,12.4444444444444,-2.27777777777778,0,0,0,4,5,0,1140,,,,,,,,,,,,,
2661,21,8,NICOLAS,ARANGO LONDOÑO,16,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,2385,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,3,7,2,12,24,0.333333333333333,-12,5,6,0,5,0,65,2,5,0,289,5,2,1,2857,5,2,1,1195,0,5,0,1138,7,15,-8,0,1626,,,,,,,,,,,,,,,,,,,,,NICOLAS ARANGO LONDOÑO,4,2,-2,14.3333333333333,7,-7.33333333333333,0,0,0,0,5,0,1054,,,,,,,,,,,,,
2662,22,8,ANDRES CAMILO,BORONDY LONDOÑO,19,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,1195,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,3,2,1,15,27,0.166666666666667,-12,6,6,5,2,1,2857,2,5,0,1138,3,5,0,289,2,5,0,2385,2,5,0,1054,6,15,-9,0,1138,,,,,,,,,,,,,,,,,,,,,ANDRES CAMILO BORONDY LONDOÑO,4.5,2.5,-2,15.5,7.83333333333333,-7.66666666666667,1,0,0,1,5,0,65,,,,,,,,,,,,,
2663,23,8,DEIBY JOSE,ARBOLEDA MERA,20,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,960,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,1,6,1,10,26,0.166666666666667,-16,6,6,0,5,0,64,0,5,0,415,3,5,0,1044,0,5,0,2353,2,5,0,608,2,15,-13,0,289,,,,,,,,,,,,,,,,,,,,,DEIBY JOSE ARBOLEDA MERA,4.33333333333333,1.66666666666667,-2.66666666666667,15.1111111111111,4.55555555555556,-10.5555555555556,0,0,0,5,1,1,2809,,,,,,,,,,,,,
2664,24,8,JOHAN ALFONSO,TEZNA NUÑEZ,20,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,766,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,S,M,I,GN,2,2,1,6,26,0.166666666666667,-20,6,6,0,5,0,1626,0,5,0,1994,1,5,0,435,0,5,0,762,0,5,0,124,1,15,-14,0,65,,,,,,,,,,,,,,,,,,,,,JOHAN ALFONSO TEZNA NUÑEZ,4.33333333333333,1,-3.33333333333333,15.1111111111111,2.66666666666667,-12.4444444444444,0,0,0,5,1,1,3073,,,,,,,,,,,,,
2665,1,64,TATIANA CATALINA,PRIETO ALJURE,33,COLOMBIA,BOGOTA,MOSQUETEROS,271,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,1,3,5,25,7,1,18,1,5,5,1,1,728,5,1,1,794,5,2,1,2894,5,1,1,829,5,2,1,601,,,,,,,,,,,15,7,8,1,829,15,13,2,1,1168,15,12,3,1,51,TATIANA CATALINA PRIETO ALJURE,1.4,5,3.6,8.08,15,6.92,1,1,3,,,,,,,,,,,,,,,,,
2666,2,52,LAURA JULIETH,GUERRA ACOSTA,24,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,51,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,2,5,5,25,13,1,12,1,5,5,0,1,178,5,4,1,101,5,2,1,475,5,3,1,918,5,4,1,1168,,,,,,15,3,12,1,918,15,6,9,1,475,15,5,10,1,243,12,15,-3,0,271,LAURA JULIETH GUERRA ACOSTA,2.6,5,2.4,7.43333333333333,14.5,7.06666666666667,1,1,3,,,,,,,,,,,,,,,,,
2667,3,40,INGRID ESTEFANÍA,MENDEZ CASTILLO,25,COLOMBIA,FFAA,"ESCUELA MILITARDE DE CEDETES ""GENERAL JOSE MARIA CORDOVA""",243,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,3,4,4,20,5,1,15,1,4,5,2,1,328,5,1,1,273,5,1,1,1012,5,1,1,2289,,,,,,,,,,,,,,,15,11,4,1,101,5,15,-10,0,51,,,,,,INGRID ESTEFANÍA MENDEZ CASTILLO,1.25,5,3.75,8.0625,11.25,3.1875,1,1,1,,,,,,,,,,,,,,,,,
2668,3,40,LAURA,SANCHEZ CERON,22,COLOMBIA,VALLE,Pothos Club,1168,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,2,2,4,24,10,0.8,14,2,5,5,1,1,918,5,1,1,178,5,1,1,101,5,2,1,475,4,5,0,51,,,,,,15,8,7,1,2894,15,9,6,1,601,13,15,-2,0,271,,,,,,LAURA SANCHEZ CERON,2,4.8,2.8,8.8,14.36,5.56,1,1,2,,,,,,,,,,,,,,,,,
2669,5,28,ANA CATALINA,GONZÁLEZ ORJUELA,17,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,601,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,1,6,4,22,15,0.8,7,2,5,5,2,1,2894,5,3,1,829,5,3,1,794,5,2,1,728,2,5,0,271,,,,,,15,4,11,1,1012,9,15,-6,0,1168,,,,,,,,,,,ANA CATALINA GONZÁLEZ ORJUELA,3,4.4,1.4,9.25,12.6,3.35,1,1,1,,,,,,,,,,,,,,,,,
2670,6,28,MARIA JOSE,FIGUEREDO SIERRA,20,COLOMBIA,VALLE,Pothos Club,829,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,1,2,2,18,18,0.4,0,4,5,4,5,0,794,3,5,0,601,5,0,1,728,1,5,0,271,5,3,1,2894,,,,,,15,10,5,1,273,7,15,-8,0,271,,,,,,,,,,,MARIA JOSE FIGUEREDO SIERRA,3.6,3.6,0,11.65,10.9,-0.75,0,0,1,,,,,,,,,,,,,,,,,
2671,6,28,CAROLINA MARÍA,VARGAS LEÓN,26,COLOMBIA,BOGOTA,MOSQUETEROS,101,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,2,4,2,18,18,0.4,0,3,5,3,5,0,475,4,5,0,51,1,5,0,1168,5,3,1,178,5,0,1,918,,,,,,15,8,7,1,794,11,15,-4,0,243,,,,,,,,,,,CAROLINA MARÍA VARGAS LEÓN,3.6,3.6,0,11.15,11.9,0.75,0,0,1,,,,,,,,,,,,,,,,,
2672,8,28,LUISA FERNANDA,RINCON ARENAS,21,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,475,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,2,3,2,17,19,0.4,-2,4,5,5,3,1,101,3,5,0,918,2,5,0,51,2,5,0,1168,5,1,1,178,,,,,,15,14,1,1,328,6,15,-9,0,51,,,,,,,,,,,LUISA FERNANDA RINCON ARENAS,3.8,3.4,-0.4,12.95,10.35,-2.6,1,0,1,,,,,,,,,,,,,,,,,
2673,9,16,ANGELA CRISTINA,ORJUELA MENDOZA,29,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,328,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,3,3,3,17,10,0.75,7,2,4,2,5,0,243,5,0,1,2289,5,2,1,1012,5,3,1,273,,,,,,,,,,14,15,-1,0,475,,,,,,,,,,,,,,,,ANGELA CRISTINA ORJUELA MENDOZA,2.5,4.25,1.75,9.16666666666667,11.75,2.58333333333333,0,0,0,,,,,,,,,,,,,,,,,
2674,10,16,VALENTINA,MORA HURTADO,18,COLOMBIA,VALLE,Pothos Club,794,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,1,1,3,19,18,0.6,1,3,5,5,4,1,829,1,5,0,271,3,5,0,601,5,2,1,2894,5,2,1,728,,,,,,8,15,-7,0,101,,,,,,,,,,,,,,,,VALENTINA MORA HURTADO,3.6,3.8,0.2,12.2,10.2666666666667,-1.93333333333333,1,0,0,,,,,,,,,,,,,,,,,
2675,11,16,MARÍA ANGÉLICA,SANDOVAL DÍAZ,30,COLOMBIA,BOGOTA,MOSQUETEROS,273,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,3,5,2,14,15,0.5,-1,3,4,5,4,1,1012,1,5,0,243,5,1,1,2289,3,5,0,328,,,,,,,,,,10,15,-5,0,829,,,,,,,,,,,,,,,,MARÍA ANGÉLICA SANDOVAL DÍAZ,3.75,3.5,-0.25,11.25,9.16666666666667,-2.08333333333333,1,0,0,,,,,,,,,,,,,,,,,
2676,12,16,SOFIA,ARISTIZABAL VALENCIA,14,COLOMBIA,VALLE,Pothos Club,1012,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,3,1,1,12,19,0.25,-7,4,4,5,4,1,2289,4,5,0,273,2,5,0,328,1,5,0,243,,,,,,,,,,4,15,-11,0,601,,,,,,,,,,,,,,,,SOFIA ARISTIZABAL VALENCIA,4.75,3,-1.75,12.9166666666667,6.33333333333333,-6.58333333333333,1,0,0,,,,,,,,,,,,,,,,,
2677,13,16,HEIDY ALEXANDRA,CELIS ALVAREZ,31,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,2894,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,1,5,1,14,22,0.2,-8,5,5,2,5,0,601,5,2,1,728,2,5,0,271,2,5,0,794,3,5,0,829,,,,,,8,15,-7,0,1168,,,,,,,,,,,,,,,,HEIDY ALEXANDRA CELIS ALVAREZ,4.4,2.8,-1.6,13.8,8.26666666666667,-5.53333333333333,0,0,0,,,,,,,,,,,,,,,,,
2678,14,16,GABRIELA,CANO JIMENEZ,17,COLOMBIA,VALLE,Pothos Club,918,"Gran Campeonato Nal, Mayores, M9, M11 y M13",Cali,2021-08-16,S,F,F,I,GN,2,1,1,13,23,0.2,-10,5,5,1,5,0,1168,5,3,1,475,4,5,0,178,3,5,0,51,0,5,0,101,,,,,,3,15,-12,0,51,,,,,,,,,,,,,,,,GABRIELA CANO JIMENEZ,4.6,2.6,-2,14.2,6.2,-8,0,0,0,,,,,,,,,,,,,,,,,
2679,1,32,MARIA JOSE,FIGUEREDO SIERRA,20,COLOMBIA,VALLE,Pothos Club,829,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,2,3,4,20,9,1,11,1,4,5,4,1,794,5,3,1,2289,5,0,1,1609,5,2,1,178,,,,,,,,,,,,,,,15,6,9,1,1609,15,0,15,1,918,15,7,8,1,601,MARIA JOSE FIGUEREDO SIERRA,2.25,5,2.75,4.85,14,9.15,1,1,3,,,,,,,,,,,,,,,,,
2680,2,26,ANA CATALINA,GONZÁLEZ ORJUELA,17,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,601,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,1,5,3,17,8,0.75,9,1,4,2,5,0,1012,5,1,1,362,5,1,1,918,5,1,1,365,,,,,,,,,,,,,,,15,7,8,1,365,15,9,6,1,1012,7,15,-8,0,829,ANA CATALINA GONZÁLEZ ORJUELA,2,4.25,2.25,8.2,11.65,3.45,0,0,2,,,,,,,,,,,,,,,,,
2681,3,20,SOFIA,ARISTIZABAL VALENCIA,14,COLOMBIA,VALLE,Pothos Club,1012,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,1,1,2,16,14,0.5,2,3,4,2,5,0,918,5,2,1,601,4,5,0,365,5,2,1,362,,,,,,,,,,,,,,,15,11,4,1,178,9,15,-6,0,601,,,,,,SOFIA ARISTIZABAL VALENCIA,3.5,4,0.5,10.875,11,0.125,0,0,1,,,,,,,,,,,,,,,,,
2682,3,20,GABRIELA,CANO JIMENEZ,17,COLOMBIA,VALLE,Pothos Club,918,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,1,2,3,16,10,0.75,6,2,4,5,2,1,1012,5,3,1,365,1,5,0,601,5,0,1,362,,,,,,,,,,,,,,,15,9,6,1,794,0,15,-15,0,829,,,,,,GABRIELA CANO JIMENEZ,2.5,4,1.5,9.125,8.75,-0.375,1,1,1,,,,,,,,,,,,,,,,,
2683,5,14,ANA MARIA,RAMIREZ QUINTERO,18,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA SALA DE ARMAS MONTEPINCIO,178,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,2,4,3,17,8,0.75,9,2,4,5,2,1,1609,5,0,1,2289,5,1,1,794,2,5,0,829,,,,,,,,,,,,,,,11,15,-4,0,1012,,,,,,,,,,,ANA MARIA RAMIREZ QUINTERO,2,4.25,2.25,8.33333333333333,10.75,2.41666666666667,1,1,0,,,,,,,,,,,,,,,,,
2684,6,14,VALENTINA,MORA HURTADO,18,COLOMBIA,VALLE,Pothos Club,794,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,2,2,2,15,12,0.5,3,3,4,5,2,1,2289,4,5,0,829,5,0,1,1609,1,5,0,178,,,,,,,,,,,,,,,9,15,-6,0,918,,,,,,,,,,,VALENTINA MORA HURTADO,3,3.75,0.75,10,9.25,-0.75,1,0,0,,,,,,,,,,,,,,,,,
2685,7,14,CLAUDIA ANDREA,PRIETO SOSA,20,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA SALA DE ARMAS MONTEPINCIO,365,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,1,3,2,14,18,0.5,-4,4,4,5,4,1,362,3,5,0,918,5,4,1,1012,1,5,0,601,,,,,,,,,,15,5,10,1,362,7,15,-8,0,601,,,,,,,,,,,CLAUDIA ANDREA PRIETO SOSA,4.5,3.5,-1,10.625,9.875,-0.75,1,0,1,,,,,,,,,,,,,,,,,
2686,8,14,MANUELA ISABEL,SANTAMARIA TRUJILLO,19,COLOMBIA,BOGOTA,MOSQUETEROS,1609,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,2,5,1,7,17,0.25,-10,4,4,2,5,0,178,0,5,0,794,0,5,0,829,5,2,1,2289,,,,,,,,,,15,9,6,1,2289,6,15,-9,0,829,,,,,,,,,,,MANUELA ISABEL SANTAMARIA TRUJILLO,4.25,1.75,-2.5,11.3125,7.4375,-3.875,0,0,1,,,,,,,,,,,,,,,,,
2687,9,8,VALENTINA,AGUILAR SARMIENTO,17,COLOMBIA,VALLE,Pothos Club,2289,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,2,1,0,7,20,0,-13,5,4,2,5,0,794,3,5,0,829,0,5,0,178,2,5,0,1609,,,,,,,,,,9,15,-6,0,1609,,,,,,,,,,,,,,,,VALENTINA AGUILAR SARMIENTO,5,1.75,-3.25,13.3333333333333,5.91666666666667,-7.41666666666667,0,0,0,,,,,,,,,,,,,,,,,
2688,9,8,LINA MARIANA,AVELLA ARANGO,14,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,362,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,F,F,I,NAL,1,4,0,7,20,0,-13,5,4,4,5,0,365,1,5,0,601,2,5,0,1012,0,5,0,918,,,,,,,,,,5,15,-10,0,365,,,,,,,,,,,,,,,,LINA MARIANA AVELLA ARANGO,5,1.75,-3.25,13.3333333333333,4.58333333333333,-8.75,0,0,0,,,,,,,,,,,,,,,,,
2689,1,32,JESSICA YOLIMA,MORALES LINARES,20,COLOMBIA,VALLE,VENCEDORES,2632,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,S,F,I,NAL,1,1,5,25,8,1,17,1,5,5,0,1,1295,5,3,1,1427,5,4,1,345,5,0,1,627,5,1,1,1971,,,,,,,,,,,15,10,5,1,3069,15,14,1,1,1427,15,7,8,1,142,JESSICA YOLIMA MORALES LINARES,1.6,5,3.4,8.12,15,6.88,1,1,3,,,,,,,,,,,,,,,,,
2690,2,26,MARIA,LEYVA VANEGAS,19,COLOMBIA,BOGOTA,Club Deportivo Braveness,142,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,S,F,I,NAL,2,4,5,25,13,1,12,1,5,5,3,1,1231,5,4,1,669,5,3,1,607,5,2,1,3069,5,1,1,630,,,,,,,,,,,15,6,9,1,630,15,12,3,1,669,7,15,-8,0,2632,MARIA LEYVA VANEGAS,2.6,5,2.4,9.72,13.4,3.68,1,1,2,,,,,,,,,,,,,,,,,
2691,3,20,ANA MARIA,ALDERETE CHAVEZ,20,COLOMBIA,VALLE,Pothos Club,669,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,S,F,I,NAL,2,5,4,24,9,0.8,15,2,5,5,1,1,3069,4,5,0,142,5,3,1,1231,5,0,1,630,5,0,1,607,,,,,,,,,,,15,13,2,1,1971,12,15,-3,0,142,,,,,,ANA MARIA ALDERETE CHAVEZ,1.8,4.8,3,9.7,13.95,4.25,1,0,1,,,,,,,,,,,,,,,,,
2692,3,20,VALENTINA,BELTRAN ROJAS,18,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA FUSA FENCING,1427,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,2021-09-03,J,S,F,I,NAL,1,3,4,23,14,0.8,9,2,5,5,0,1,1971,3,5,0,2632,5,4,1,627,5,4,1,1295,5,1,1,345,,,,,,,,,,,15,6,9,1,627,14,15,-1,0,2632,,,,,,VALENTINA BELTRAN ROJAS,2.8,4.6,1.8,9.45,14.15,4.7,1,0,1,,,,,,,,,,,,,,,,,
