,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,p5_td,p5_tr,p5_result,p5_opp_id,td_t32,tr_t32,match_dif_t32,match_res_t32,t32_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,p6_td,p6_tr,p6_result,p6_opp_id,td_t64,tr_t64,match_dif_t64,match_res_t64,t64_opp_id,p7_td,p7_tr,p7_result,p7_opp_id,p8_td,p8_tr,p8_result,p8_opp_id
210,5,14,MARTÍN,CALVO DOMÍNGUEZ,16,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,935,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,6,3,24,22,0.5,2,4,6,5,2,1,1036,2,5,0,806,4,5,0,2325,5,2,1,854,3,5,0,765,,,,,,,,,,,12,15,-3,0,2325,,,,,,,,,,,MARTÍN CALVO DOMÍNGUEZ,3.66666666666667,4,0.333333333333333,13.5555555555556,13.3333333333333,-0.222222222222221,1,0,0,5,3,1,1963,,,,,,,,,,,,,
211,6,14,JUAN ESTEBAN,LOZADA DIAZ,17,COLOMBIA,VALLE,Pothos Club,1963,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,2,1,15,29,0.166666666666667,-14,6,6,0,5,0,765,3,5,0,854,1,5,0,806,5,4,1,2325,3,5,0,1036,,,,,,,,,,,2,15,-13,0,854,,,,,,,,,,,JUAN ESTEBAN LOZADA DIAZ,4.83333333333333,2.5,-2.33333333333333,16.2777777777778,6.5,-9.77777777777778,0,0,0,3,5,0,935,,,,,,,,,,,,,
212,7,14,ALEJANDRO,MENDEZ RODRIGUEZ,18,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA ORION,1036,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,3,1,13,28,0.166666666666667,-15,7,6,2,5,0,935,2,5,0,765,5,3,1,1963,2,5,0,806,1,5,0,2325,,,,,,,,,,,11,15,-4,0,806,,,,,,,,,,,ALEJANDRO MENDEZ RODRIGUEZ,4.66666666666667,2.16666666666667,-2.5,15.8888888888889,8.72222222222222,-7.16666666666666,0,0,0,1,5,0,854,,,,,,,,,,,,,
213,1,32,MARIANA,GAMBOA ANDRADE,18,COLOMBIA,TOLIMA,Club Deportivo SAS,630,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,F,I,NAL,1,4,2,14,10,0.666666666666667,4,1,3,5,4,1,1295,1,5,0,627,3,5,0,607,,,,,,,,,,,,,,,,,,,,,,,,15,11,4,1,607,15,13,2,1,627,MARIANA GAMBOA ANDRADE,3.33333333333333,3,-0.333333333333333,9.33333333333333,11.75,2.41666666666667,1,0,2,,,,,,,,,,,,,,,,,
214,2,26,MARIA JOSE,GUTIERREZ GUARIN,16,COLOMBIA,TOLIMA,Club Deportivo SAS,627,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,F,I,NAL,1,2,2,13,10,0.666666666666667,3,2,3,5,3,1,607,5,1,1,630,2,5,0,1295,,,,,,,,,,,,,,,,,,,,,,,,15,4,11,1,1295,13,15,-2,0,630,MARIA JOSE GUTIERREZ GUARIN,3.33333333333333,4,0.666666666666667,8.08333333333333,11.25,3.16666666666667,1,1,1,,,,,,,,,,,,,,,,,
215,3,20,TATIANA,RIOS MORA,15,COLOMBIA,BOGOTA,MOSQUETEROS,1295,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,F,I,NAL,1,1,1,10,14,0.333333333333333,-4,4,3,4,5,0,630,3,5,0,607,5,2,1,627,,,,,,,,,,,,,,,,,,,,,,,,4,15,-11,0,627,,,,,,TATIANA RIOS MORA,4.66666666666667,4,-0.666666666666667,11.2222222222222,6,-5.22222222222222,0,0,0,,,,,,,,,,,,,,,,,
216,3,20,ISABELLA,TRIANA REYES,15,COLOMBIA,TOLIMA,Club Deportivo SAS,607,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,F,I,NAL,1,3,1,11,14,0.333333333333333,-3,3,3,3,5,0,627,5,3,1,1295,5,3,1,630,,,,,,,,,,,,,,,,,,,,,,,,11,15,-4,0,630,,,,,,ISABELLA TRIANA REYES,4.66666666666667,4.33333333333333,-0.333333333333334,11.2222222222222,8.77777777777778,-2.44444444444444,0,0,0,,,,,,,,,,,,,,,,,
217,1,32,MANUEL SANTIAGO,CRUZ GARROTE,17,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA FUSA FENCING,762,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,M,I,NAL,1,7,5,28,15,0.833333333333333,13,1,6,5,2,1,1044,5,2,1,1994,5,1,1,254,3,5,0,275,5,1,1,253,,,,,,,,,,,,,,,,15,10,5,1,1044,15,7,8,1,275,MANUEL SANTIAGO CRUZ GARROTE,2.5,4.66666666666667,2.16666666666667,8.625,15.6666666666667,7.04166666666667,1,1,2,5,4,1,129,,,,,,,,,,,,,
218,2,26,EMILIO,VARGAS ESCOBAR,15,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,275,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,M,I,NAL,1,3,5,29,19,0.833333333333333,10,2,6,5,2,1,129,4,5,0,253,5,1,1,254,5,4,1,1044,5,3,1,762,,,,,,,,,,,15,9,6,1,254,15,14,1,1,253,7,15,-8,0,762,EMILIO VARGAS ESCOBAR,3.16666666666667,4.83333333333333,1.66666666666667,12.0333333333333,14.1666666666667,2.13333333333333,1,0,2,5,4,1,1994,,,,,,,,,,,,,
219,3,20,JOSE RICARDO,ANDRADE VARGAS,18,COLOMBIA,VALLE,Pothos Club,1044,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,S,M,I,NAL,1,4,3,23,21,0.5,2,4,6,5,3,1,1994,2,5,0,762,4,5,0,275,2,5,0,253,5,1,1,129,,,,,,,,,,,15,11,4,1,1994,10,15,-5,0,762,,,,,,JOSE RICARDO ANDRADE VARGAS,3.5,3.83333333333333,0.333333333333333,12.625,12.9583333333333,0.333333333333334,1,0,1,5,2,1,254,,,,,,,,,,,,,
