,final_pos,points,name,age,country,id,competition,place,date,category,weapon,gender,event,type,td_pre128,tr_pre128,opp_pre128,match_dif_pre128,match_res_pre128,td_pre64,tr_pre64,opp_pre64,match_dif_pre64,match_res_pre64,td_t64,tr_t64,opp_t64,match_dif_t64,match_res_t64,td_t32,tr_t32,opp_t32,match_dif_t32,match_res_t32,td_t16,tr_t16,opp_t16,match_dif_t16,match_res_t16,td_t8,tr_t8,opp_t8,match_dif_t8,match_res_t8,td_semi,tr_semi,opp_semi,match_dif_semi,match_res_semi,td_final,tr_final,opp_final,match_dif_final,match_res_final,rank_poule,poule_vict,M,td_polues,tr_poules,poule_ind,p_diff,poule_order,p1,p2,p3,p4,p5,p6,p_matches,p1_result,p1_td,p1_tr,p1_opp,p2_result,p2_td,p2_tr,p2_opp,p3_result,p3_td,p3_tr,p3_opp,p4_result,p4_td,p4_tr,p4_opp,p5_result,p5_td,p5_tr,p5_opp,p6_result,p6_td,p6_tr,p6_opp,td_pre256,tr_pre256,opp_pre256,match_dif_pre256,match_res_pre256
24,25,4.0,CRISCIO Martina,28,ITA,crisciomart,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,11.0,chadalavada,4.0,V,12.0,15.0,matuszaksyl,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,4.0,PAGE Gabriella,27,CAN,pagegabriel,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,13.0,russofrance,2.0,V,12.0,15.0,kimjeongmi,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,4.0,GARGANO Rebecca,25,ITA,garganorebe,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,9.0,kozaczukmal,6.0,V,13.0,15.0,bashtaanna,-2.0,D,,,,,,,,,,,,,,,,,,,,,7.0,5.0,5.0,25.0,8.0,1.0,17.0,2.0,V/5,V/5,V/5,V/5,V/5,,5.0,V,5.0,2.0,brind'amour,V,5.0,3.0,bolshakovav,V,5.0,0.0,corbyjessic,V,5.0,1.0,gallardoitz,V,5.0,2.0,gonzalezcas,,,,,,,,,
27,28,4.0,FUNKE Julika,21,GER,funkejulika,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,9.0,suzannecoli,6.0,V,12.0,15.0,georgiadoud,-3.0,D,,,,,,,,,,,,,,,,,,,,,8.0,5.0,5.0,25.0,10.0,1.0,15.0,5.0,V/5,V/5,V/5,V/5,V/5,,5.0,V,5.0,0.0,lucariniluc,V,5.0,2.0,herreralara,V,5.0,2.0,ongjessicas,V,5.0,2.0,kakhiani-me,V,5.0,4.0,gazepidimar,,,,,,,,,
28,29,4.0,ROTILI Claudia,21,ITA,rotiliclaud,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,15.0,5.0,fuying,10.0,V,14.0,15.0,pusztailiza,-1.0,D,,,,,,,,,,,,,,,,,,,,,15.0,5.0,6.0,29.0,15.0,0.833,14.0,7.0,V/5,V/5,V/5,V/5,D/4,V/5,6.0,V,5.0,3.0,beltranroja,V,5.0,0.0,apostolopou,D,4.0,5.0,kimuramarin,V,5.0,2.0,vutovateodo,V,5.0,1.0,kimjeongmi,V,5.0,4.0,noutchasara,,,,,
29,30,4.0,NAZLYMOV Tatiana,17,USA,nazlymovtat,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,13.0,corteynsaar,2.0,V,15.0,11.0,jeonhayoung,4.0,V,8.0,15.0,kimjiyeon,-7.0,D,,,,,,,,,,,,,,,,,,,,,22.0,5.0,6.0,26.0,19.0,0.833,7.0,6.0,V/5,V/5,V/5,D/1,V/5,V/5,6.0,V,5.0,3.0,kehlizohran,V,5.0,3.0,lauwingyi,V,5.0,4.0,karimovasab,D,1.0,5.0,dicarloales,V,5.0,0.0,kourousiann,V,5.0,3.0,lauwingyi,,,,,
30,31,4.0,TARTAKOVSKY Elizabeth,21,USA,tartakovsky,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,12.0,karimovasab,3.0,V,15.0,14.0,paizimarina,1.0,V,14.0,15.0,katonarenat,-1.0,D,,,,,,,,,,,,,,,,,,,,,28.0,4.0,5.0,21.0,12.0,0.8,9.0,3.0,V/5,V/5,D/1,V/5,V/5,,5.0,D,1.0,5.0,sanoyui,V,5.0,2.0,leejoliekar,V,5.0,4.0,tariccobene,V,5.0,0.0,luteatania,V,5.0,1.0,perezcuenca,,,,,,,,,
31,32,4.0,TAKASHIMA Risa,23,JPN,takashimari,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,1.0,beltranroja,14.0,V,15.0,12.0,johnsonhono,3.0,V,15.0,5.0,yanghengyu,10.0,V,9.0,15.0,martin-port,-6.0,D,,,,,,,,,,,,,,,,,,,,,50.0,4.0,6.0,24.0,19.0,0.667,5.0,2.0,V/5,V/5,D/3,V/5,V/5,D/1,6.0,V,5.0,3.0,klimavicius,V,5.0,2.0,konstantako,V,5.0,2.0,gasparingiu,D,1.0,5.0,martin-port,D,3.0,5.0,johnsonhono,V,5.0,2.0,coudercanna,,,,,
32,33,2.0,EMURA Misaki,23,JPN,emuramisaki,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,12.0,15.0,katonarenat,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,2.0,YANG Hengyu,25,CHN,yanghengyu,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,5.0,15.0,takashimari,-10.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,2.0,CIESLAR Zuzanna,21,POL,cieslarzuza,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,7.0,15.0,kimjeongmi,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,30.0,9.0,1.0,21.0,2.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,2.0,maxwellcait,V,5.0,0.0,chatzakouka,V,5.0,3.0,fraatzkrees,V,5.0,1.0,katonarenat,V,5.0,0.0,zhuangcheny,V,5.0,3.0,leerajin,,,,,
35,36,2.0,KOSE Fatma Zehra,24,TUR,kosefatmaze,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,11.0,15.0,matuszaksyl,-4.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,6.0,30.0,10.0,1.0,20.0,4.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,1.0,ozakiseri,V,5.0,0.0,leekarmoon,V,5.0,4.0,davisalexan,V,5.0,2.0,palaskaagni,V,5.0,0.0,chuwingkiu,V,5.0,3.0,kozaczukmal,,,,,
36,36,2.0,POUPINET Anne,21,FRA,poupinetann,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,12.0,15.0,fukushimash,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,6.0,30.0,10.0,1.0,20.0,5.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,1.0,sasakiharun,V,5.0,0.0,gogouelenil,V,5.0,3.0,saraamanal,V,5.0,3.0,navarroarac,V,5.0,1.0,corteynjoli,V,5.0,2.0,hengjulietj,,,,,
37,38,2.0,FOX-GITOMER Chloe,21,USA,fox-gitomer,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,12.0,15.0,hramovaolga,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,6.0,30.0,11.0,1.0,19.0,6.0,V/5,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,2.0,daghfousyas,V,5.0,1.0,corteynsaar,V,5.0,2.0,linkesi,V,5.0,0.0,chatzikokki,V,5.0,4.0,contreraspa,V,5.0,1.0,corteynsaar,,,,,
38,39,2.0,PAIZI Marina,32,GRE,paizimarina,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,14.0,15.0,tartakovsky,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,5.0,25.0,15.0,1.0,10.0,4.0,V/5,V/5,V/5,V/5,V/5,,5.0,V,5.0,4.0,kaspiarovic,V,5.0,3.0,lamhinwai,V,5.0,4.0,passaroeloi,V,5.0,3.0,pliegopaola,V,5.0,1.0,mihailovaan,,,,,,,,,
39,40,2.0,DI CARLO Alessia,20,ITA,dicarloales,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,13.0,15.0,eiflerlaris,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,6.0,29.0,13.0,0.833,16.0,4.0,V/5,V/5,V/5,V/5,V/5,D/4,6.0,V,5.0,0.0,kourousiann,V,5.0,2.0,prikhodkota,V,5.0,1.0,kehlizohran,V,5.0,1.0,nazlymovtat,V,5.0,4.0,karimovasab,D,4.0,5.0,lauwingyi,,,,,
40,41,2.0,NAVARRO Araceli,32,ESP,navarroarac,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,7.0,15.0,boudiafsaou,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,6.0,28.0,13.0,0.833,15.0,7.0,V/5,V/5,V/5,V/5,D/3,V/5,6.0,V,5.0,1.0,saraamanal,V,5.0,1.0,hengjulietj,D,3.0,5.0,poupinetann,V,5.0,2.0,sasakiharun,V,5.0,2.0,corteynjoli,V,5.0,2.0,gogouelenil,,,,,
41,42,2.0,JEON Hayoung,20,KOR,jeonhayoung,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,11.0,15.0,nazlymovtat,-4.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,5.0,6.0,26.0,11.0,0.833,15.0,2.0,V/5,D/1,V/5,V/5,V/5,V/5,6.0,V,5.0,1.0,mavrikakiat,D,1.0,5.0,vongsavadym,V,5.0,2.0,russofrance,V,5.0,1.0,alexandresc,V,5.0,1.0,guoyiqi,V,5.0,1.0,buerkertann,,,,,
42,43,2.0,FU Ying,23,CHN,fuying,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,6.0,chuwingkiu,9.0,V,5.0,15.0,rotiliclaud,-10.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,6.0,29.0,15.0,0.833,14.0,6.0,V/5,V/5,D/4,V/5,V/5,V/5,6.0,D,4.0,5.0,brayjenna,V,5.0,1.0,matuszaksyl,V,5.0,2.0,moutopoulou,V,5.0,2.0,mukaeayaka,V,5.0,2.0,gulikanasta,V,5.0,1.0,matuszaksyl,,,,,
43,43,2.0,UNLUDAG Deniz Selin,21,TUR,unludagdeni,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,,,,,,10.0,15.0,noutchasara,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,6.0,29.0,15.0,0.833,14.0,1.0,D/4,V/5,V/5,V/5,V/5,V/5,6.0,V,5.0,1.0,doukaanna,V,5.0,2.0,gutierrezro,V,5.0,4.0,hramovaolga,V,5.0,2.0,mayingjia,V,5.0,1.0,sarybayaige,D,4.0,5.0,greenbaumat,,,,,
44,45,2.0,JEON Eunhye,24,KOR,jeoneunhye,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,5.0,lupuandreea,10.0,V,14.0,15.0,seojiyeon,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,4.0,5.0,22.0,11.0,0.8,11.0,3.0,V/5,D/2,V/5,V/5,V/5,,5.0,V,5.0,1.0,looheidiyan,V,5.0,0.0,lytinaekate,V,5.0,1.0,baldozoemar,D,2.0,5.0,laszloluca,V,5.0,4.0,chadalavada,,,,,,,,,
45,46,2.0,LUCARINI Lucia,23,ITA,lucariniluc,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,10.0,tariccobene,5.0,V,7.0,15.0,battistonmi,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,4.0,5.0,20.0,13.0,0.8,7.0,6.0,V/5,V/5,V/5,V/5,D/0,,5.0,D,0.0,5.0,funkejulika,V,5.0,4.0,gazepidimar,V,5.0,3.0,KAKHIANI-MECKLING...,V,5.0,1.0,herreralara,V,5.0,0.0,ongjessicas,,,,,,,,,
