,final_pos,points,name,age,country,id,competition,place,date,category,weapon,gender,event,type,td_pre256,tr_pre256,opp_pre256,match_dif_pre256,match_res_pre256,td_pre128,tr_pre128,opp_pre128,match_dif_pre128,match_res_pre128,td_pre64,tr_pre64,opp_pre64,match_dif_pre64,match_res_pre64,td_t64,tr_t64,opp_t64,match_dif_t64,match_res_t64,td_t32,tr_t32,opp_t32,match_dif_t32,match_res_t32,td_t16,tr_t16,opp_t16,match_dif_t16,match_res_t16,td_t8,tr_t8,opp_t8,match_dif_t8,match_res_t8,td_semi,tr_semi,opp_semi,match_dif_semi,match_res_semi,td_final,tr_final,opp_final,match_dif_final,match_res_final,rank_poule,poule_vict,M,td_polues,tr_poules,poule_ind,p_diff,poule_order,p1,p2,p3,p4,p5,p6,p_matches,p1_result,p1_td,p1_tr,p1_opp,p2_result,p2_td,p2_tr,p2_opp,p3_result,p3_td,p3_tr,p3_opp,p4_result,p4_td,p4_tr,p4_opp,p5_result,p5_td,p5_tr,p5_opp,p6_result,p6_td,p6_tr,p6_opp
544,88.0,1.0,ISHII Go,19.0,JPN,ishiigo,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,14.0,singhkarans,1.0,V,11.0,15.0,lambertmaxe,-4.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,3.0,6.0,24.0,23.0,0.5,1.0,1.0,D/3,V/5,V/5,D/4,D/2,V/5,6.0,V,5.0,1.0,ferjaniahme,V,5.0,4.0,lowhotin,D,4.0,5.0,zhuzhongtia,V,5.0,3.0,rakhmanalim,D,2.0,5.0,archvadzeva,D,3.0,5.0,alshamlanyo
545,89.0,1.0,HUMEN Vasyl,20.0,UKR,humenvasyl,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,10.0,broniszewsk,5.0,V,8.0,15.0,cavaliereda,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,3.0,6.0,23.0,22.0,0.5,1.0,6.0,D/2,D/2,V/5,V/5,D/4,V/5,6.0,V,5.0,1.0,kutchukhidz,V,5.0,2.0,abdulkareem,D,2.0,5.0,broniszewsk,V,5.0,4.0,amermohamed,D,2.0,5.0,colleauchar,D,4.0,2.0,abdulkareem
546,90.0,1.0,BERRE' Enrico,30.0,ITA,berre'enric,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,7.0,dairui,8.0,V,10.0,15.0,nuccioricca,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,3.0,6.0,23.0,24.0,0.5,-1.0,6.0,V/5,D/3,D/2,D/3,V/5,V/5,6.0,D,2.0,5.0,liangjianha,V,5.0,2.0,elarabymaze,D,3.0,5.0,ursachirazv,D,3.0,5.0,hryciukszym,V,5.0,4.0,galgoczytam,V,5.0,2.0,elarabymaze
547,91.0,1.0,AILINCA Rares,21.0,ROU,ailincarare,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,9.0,hernandezca,6.0,V,5.0,15.0,baherarasba,-10.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,3.0,6.0,18.0,19.0,0.5,-1.0,1.0,D/2,V/5,V/5,D/1,V/5,D/0,6.0,V,5.0,0.0,bounchadaza,D,0.0,5.0,rahbarimoha,D,1.0,5.0,kokubomao,V,5.0,3.0,cohenjosef,V,5.0,1.0,perezmartin,D,2.0,5.0,sunghyeonmo
548,92.0,1.0,CHANG Chi Hin Cyrus,30.0,HKG,changchihin,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,11.0,tahlaabdall,4.0,V,3.0,15.0,dearywillia,-12.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,3.0,6.0,22.0,25.0,0.5,-3.0,4.0,D/1,D/2,V/5,V/5,D/4,V/5,6.0,D,1.0,5.0,fotouhimoha,V,5.0,4.0,tsapyuriy,V,5.0,4.0,saronmitche,D,4.0,5.0,tokunankent,D,2.0,5.0,aymanmostaf,V,5.0,2.0,howesnichol
549,93.0,1.0,GYORGY Lehel,23.0,HUN,gyorgylehel,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,14.0,lopezdeguer,1.0,V,4.0,15.0,schickelefl,-11.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3.0,6.0,20.0,27.0,0.5,-7.0,1.0,D/3,D/2,V/5,V/5,V/5,D/0,6.0,V,5.0,4.0,emuraryohei,D,0.0,5.0,yagodkaandr,V,5.0,4.0,alpaidzemik,D,2.0,5.0,hoszelongaa,V,5.0,4.0,singhkarans,D,3.0,5.0,tahlaabdall
550,94.0,1.0,XU Haojun,22.0,CHN,xuhaojun,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,14.0,sunghyeonmo,1.0,V,12.0,15.0,decsitamas,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,2.0,6.0,22.0,21.0,0.333,1.0,5.0,D/3,D/2,V/5,V/5,D/4,D/3,6.0,D,2.0,5.0,dogyeongdon,V,5.0,1.0,almutairiad,D,3.0,5.0,thompsonkha,D,3.0,5.0,boureaupaco,V,5.0,0.0,desrosierso,D,4.0,5.0,tanishitana
551,95.0,1.0,COHEN Josef,24.0,USA,cohenjosef,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,13.0,zhuzhongtia,2.0,V,9.0,15.0,liangjianha,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,2.0,6.0,21.0,21.0,0.333,0.0,3.0,D/3,D/4,V/5,D/1,V/5,D/3,6.0,V,5.0,1.0,perezmartin,D,4.0,5.0,sunghyeonmo,V,5.0,0.0,bounchadaza,D,3.0,5.0,ailincarare,D,1.0,5.0,kokubomao,D,3.0,5.0,rahbarimoha
552,96.0,1.0,GALGOCZY Tamas,25.0,HUN,galgoczytam,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,10.0,kakauridzeg,5.0,V,9.0,15.0,elsissyziad,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,2.0,6.0,19.0,23.0,0.333,-4.0,1.0,D/2,D/0,D/3,V/5,D/4,V/5,6.0,D,3.0,5.0,hryciukszym,V,5.0,1.0,elarabymaze,V,5.0,2.0,buchmannfin,D,0.0,5.0,liangjianha,D,4.0,5.0,berre'enric,D,2.0,5.0,ursachirazv
553,97.0,0.5,FERJANI Ahmed,22.0,TUN,ferjaniahme,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,6.0,15.0,dragomirgeo,-9.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,4.0,6.0,25.0,19.0,0.667,6.0,4.0,D/1,V/5,V/5,D/4,V/5,V/5,6.0,D,1.0,5.0,ishiigo,D,4.0,5.0,zhuzhongtia,V,5.0,2.0,rakhmanalim,V,5.0,2.0,archvadzeva,V,5.0,4.0,alshamlanyo,V,5.0,1.0,lowhotin
